dimension_id,category,item_type,length_ft,width_ft,height_ft,area_sqft,perimeter_ft,wall_area_sqft,spec_details
DIM-0001,Painting,Ceiling Painting,31.24,21.76,4.24,679.78,106.0,449.44,Exterior Emulsion
DIM-0002,Electrical,Concealed Wiring,25.37,26.46,4.18,671.29,103.66,433.3,6sqmm wire
DIM-0003,False Ceiling,Grid Ceiling,28.25,12.67,2.53,357.93,81.84,207.06,12.5mm board
DIM-0004,Plumbing,UPVC Pipeline,33.87,16.36,3.08,554.11,100.46,309.42,2in pipe
DIM-0005,Painting,Ceiling Painting,25.23,18.29,3.42,461.46,87.04,297.68,Primer
DIM-0006,Flooring,Marble Flooring,6.69,5.69,4.05,38.07,24.76,100.28,16mm slabs
DIM-0007,Tiling,Wall Tile,37.53,7.27,3.36,272.84,89.6,301.06,"800x800mm, 12mm thick"
DIM-0008,Woodwork,Wardrobe Shutter,35.88,11.15,4.24,400.06,94.06,398.81,"8x4 ft, 25mm plywood"
DIM-0009,Electrical,Concealed Wiring,13.76,13.04,4.3,179.43,53.6,230.48,1.5sqmm wire
DIM-0010,Plumbing,UPVC Pipeline,26.9,22.6,3.99,607.94,99.0,395.01,0.5in pipe
DIM-0011,False Ceiling,Gypsum Ceiling,8.33,8.76,2.56,72.97,34.18,87.5,15mm board
DIM-0012,Tiling,Wall Tile,5.28,12.28,2.65,64.84,35.12,93.07,"800x800mm, 10mm thick"
DIM-0013,Tiling,Floor Tile,13.01,5.41,4.09,70.38,36.84,150.68,"300x600mm, 10mm thick"
DIM-0014,Electrical,Concealed Wiring,9.8,23.88,3.98,234.02,67.36,268.09,2.5sqmm wire
DIM-0015,Tiling,Wall Tile,23.57,3.23,3.77,76.13,53.6,202.07,"300x600mm, 12mm thick"
DIM-0016,Woodwork,Modular Box,26.98,7.09,3.26,191.29,68.14,222.14,"6x3 ft, 12mm plywood"
DIM-0017,Tiling,Wall Tile,36.38,6.78,2.66,246.66,86.32,229.61,"300x600mm, 10mm thick"
DIM-0018,Electrical,Concealed Wiring,32.69,9.69,3.75,316.77,84.76,317.85,4sqmm wire
DIM-0019,Flooring,Marble Flooring,37.94,3.72,4.18,141.14,83.32,348.28,16mm slabs
DIM-0020,Painting,Wall Painting,26.24,8.09,3.22,212.28,68.66,221.09,Interior Emulsion
DIM-0021,Plumbing,CPVC Pipeline,18.51,9.51,3.74,176.03,56.04,209.59,0.5in pipe
DIM-0022,Electrical,Surface Wiring,37.69,6.56,4.21,247.25,88.5,372.58,4sqmm wire
DIM-0023,Painting,Wall Painting,28.9,23.59,4.4,681.75,104.98,461.91,Interior Emulsion
DIM-0024,Painting,Wall Painting,7.36,10.08,2.48,74.19,34.88,86.5,Exterior Emulsion
DIM-0025,Painting,Ceiling Painting,15.03,22.24,4.01,334.27,74.54,298.91,Primer
DIM-0026,Plumbing,UPVC Pipeline,7.88,17.49,3.69,137.82,50.74,187.23,0.5in pipe
DIM-0027,Electrical,Concealed Wiring,7.77,27.86,4.45,216.47,71.26,317.11,4sqmm wire
DIM-0028,Plumbing,CPVC Pipeline,25.53,23.61,3.76,602.76,98.28,369.53,2in pipe
DIM-0029,False Ceiling,Gypsum Ceiling,20.31,28.74,2.9,583.71,98.1,284.49,12.5mm board
DIM-0030,Plumbing,CPVC Pipeline,9.06,19.53,2.52,176.94,57.18,144.09,0.5in pipe
DIM-0031,Tiling,Wall Tile,29.78,21.94,2.74,653.37,103.44,283.43,"300x600mm, 8mm thick"
DIM-0032,Electrical,Concealed Wiring,9.44,24.09,2.96,227.41,67.06,198.5,1.5sqmm wire
DIM-0033,Electrical,Concealed Wiring,33.25,10.34,2.53,343.81,87.18,220.57,6sqmm wire
DIM-0034,Plumbing,CPVC Pipeline,22.88,4.5,4.2,102.96,54.76,229.99,2in pipe
DIM-0035,Woodwork,Modular Box,13.93,5.78,3.61,80.52,39.42,142.31,"8x4 ft, 12mm plywood"
DIM-0036,False Ceiling,Gypsum Ceiling,22.81,4.19,4.21,95.57,54.0,227.34,12.5mm board
DIM-0037,Plumbing,CPVC Pipeline,17.74,27.85,2.78,494.06,91.18,253.48,3in pipe
DIM-0038,Woodwork,Wardrobe Shutter,16.26,14.24,3.91,231.54,61.0,238.51,"8x4 ft, 25mm plywood"
DIM-0039,Electrical,Concealed Wiring,9.18,21.18,2.51,194.43,60.72,152.41,1.5sqmm wire
DIM-0040,Plumbing,UPVC Pipeline,7.41,15.56,2.99,115.3,45.94,137.36,2in pipe
DIM-0041,Tiling,Wall Tile,24.36,3.22,2.82,78.44,55.16,155.55,"800x800mm, 10mm thick"
DIM-0042,Electrical,Concealed Wiring,25.71,16.32,4.02,419.59,84.06,337.92,2.5sqmm wire
