boq_id,category,material,quantity,unit,length_ft,width_ft,area_sqft,region,season,grade,consumption_rules
BOQ-0001,Civil,RCC Concrete,61.25,cft,17.38,15.04,,north,normal,Economy,"{'cement_bags_per_cft': 0.12, 'steel_kg_per_cft': 4}"
BOQ-0002,Plumbing,CPVC Pipe,63.41,rft,14.84,27.74,,north,monsoon,Economy,{'pipe_rft_per_rft': 1}
BOQ-0003,Civil,Reinforced Steel,295.22,cft,14.92,31.52,,north,monsoon,Economy,{'steel_kg_per_cft': 5}
BOQ-0004,Plumbing,UPVC Pipe,175.04,rft,14.69,39.36,,north,normal,Premium,{'pipe_rft_per_rft': 1}
BOQ-0005,Tiling,Ceramic Tiles,431.37,sqft,32.17,41.32,1329.26,west,normal,Premium,"{'adhesive_kg_per_sqft': 0.45, 'grout_kg_per_sqft': 0.07}"
BOQ-0006,Tiling,Granite Tiles,181.93,sqft,33.29,44.85,1493.06,east,monsoon,Economy,"{'adhesive_kg_per_sqft': 0.65, 'grout_kg_per_sqft': 0.1}"
BOQ-0007,Tiling,Vitrified Tiles,347.57,sqft,39.79,49.33,1962.84,south,normal,Premium,"{'adhesive_kg_per_sqft': 0.5, 'grout_kg_per_sqft': 0.08}"
BOQ-0008,Carpentry,Laminate,336.06,sqft,21.42,21.66,463.96,south,summer,Economy,{'laminate_sheets_per_sqft': 0.028}
BOQ-0009,Civil,Reinforced Steel,82.13,cft,33.57,29.04,,south,monsoon,Premium,{'steel_kg_per_cft': 5}
BOQ-0010,Plumbing,UPVC Pipe,495.29,rft,33.8,30.06,,east,normal,Standard,{'pipe_rft_per_rft': 1}
BOQ-0011,Tiling,Ceramic Tiles,230.52,sqft,7.98,46.09,367.8,central,summer,Standard,"{'adhesive_kg_per_sqft': 0.45, 'grout_kg_per_sqft': 0.07}"
BOQ-0012,Civil,Cement Plaster,228.03,cft,46.15,25.65,,east,monsoon,Standard,{'cement_kg_per_sqft': 0.9}
BOQ-0013,Civil,Reinforced Steel,292.54,cft,38.62,24.28,,central,winter,Premium,{'steel_kg_per_cft': 5}
BOQ-0014,Painting,Acrylic Paint,279.29,sqft,9.09,7.12,64.72,north,monsoon,Economy,{'paint_litre_per_sqft': 0.018}
BOQ-0015,Painting,Putty,239.97,sqft,7.86,22.17,174.26,west,summer,Economy,{'putty_kg_per_sqft': 0.12}
BOQ-0016,Tiling,Granite Tiles,374.32,sqft,35.68,29.16,1040.43,east,summer,Standard,"{'adhesive_kg_per_sqft': 0.65, 'grout_kg_per_sqft': 0.1}"
BOQ-0017,Carpentry,Laminate,121.17,sqft,5.15,37.49,193.07,east,monsoon,Economy,{'laminate_sheets_per_sqft': 0.028}
BOQ-0018,Tiling,Granite Tiles,184.3,sqft,33.75,32.4,1093.5,south,summer,Standard,"{'adhesive_kg_per_sqft': 0.65, 'grout_kg_per_sqft': 0.1}"
BOQ-0019,Electrical,MCB Unit,463.32,rft,31.95,26.99,,north,summer,Premium,{'units_per_project': 1}
BOQ-0020,Painting,Acrylic Paint,158.39,sqft,30.53,8.54,260.73,west,normal,Economy,{'paint_litre_per_sqft': 0.018}
BOQ-0021,Painting,Acrylic Paint,346.89,sqft,47.61,12.43,591.79,central,winter,Standard,{'paint_litre_per_sqft': 0.018}
BOQ-0022,Electrical,MCB Unit,360.44,rft,37.08,22.95,,east,winter,Economy,{'units_per_project': 1}
BOQ-0023,Plumbing,CPVC Pipe,161.56,rft,7.88,5.95,,central,monsoon,Economy,{'pipe_rft_per_rft': 1}
BOQ-0024,Painting,Acrylic Paint,81.95,sqft,33.4,15.3,511.02,north,summer,Standard,{'paint_litre_per_sqft': 0.018}
BOQ-0025,Electrical,PVC Conduit,175.31,rft,26.84,29.27,,central,winter,Standard,{'conduit_rft_per_rft': 1}
BOQ-0026,Plumbing,UPVC Pipe,135.68,rft,9.36,24.4,,west,winter,Premium,{'pipe_rft_per_rft': 1}
