sub_id,material_name,substitute_material,quality_level,cost_factor,performance_factor,reason
1,Copper Wire,Aluminium Wire,standard,0.78,0.8,cost saving
2,Copper Wire,FRLS Copper Wire Premium,premium,1.12,1.2,fire safety
3,Copper Wire,Copper Cable Heavy Duty,premium,1.15,1.25,high load areas
4,PVC Conduit,HDPE Conduit,premium,1.1,1.14,durability
5,PVC Conduit,FRLS Conduit,premium,1.08,1.12,fire safety
6,Switch,Modular Switch,premium,1.1,1.15,client preference
7,Switch,Economy Switch,economy,0.85,0.8,cost saving
8,Socket,Modular Socket,premium,1.1,1.15,standardization
9,Socket,Universal Socket,premium,1.12,1.18,compatibility
10,Junction Box,Metal Junction Box,premium,1.15,1.18,safety
11,Junction Box,PVC Junction Box,standard,0.95,0.92,availability
12,CPVC Pipe,UPVC Pipe,premium,1.06,1.13,faster installation
13,CPVC Pipe,PPR Pipe,premium,1.1,1.08,supply shortage
14,CPVC Pipe,GI Pipe,economy,0.88,0.85,cost saving
15,UPVC Pipe,CPVC Pipe,standard,0.95,0.92,cost reduction
16,UPVC Pipe,PPR Pipe,premium,1.05,1.1,hot water usage
17,CPVC Elbow,UPVC Elbow,standard,0.95,0.9,availability
18,CPVC Elbow,PPR Elbow,premium,1.05,1.1,durability
19,CPVC Tee,UPVC Tee,standard,0.96,0.9,cost saving
20,CPVC Tee,PPR Tee,premium,1.06,1.1,high pressure
21,Ball Valve,Gate Valve,standard,0.9,0.85,cost saving
22,Ball Valve,Angle Valve,premium,1.05,1.1,better control
23,Ball Valve,Brass Ball Valve,premium,1.12,1.18,durability
24,Solvent Cement,CPVC Solvent Premium,premium,1.08,1.15,bond strength
25,Solvent Cement,UPVC Solvent Cement,standard,0.97,0.92,availability
26,Plywood,Block Board,premium,1.05,1.12,better strength
27,Plywood,MDF Board,standard,0.92,0.88,cost reduction
28,Plywood,HDHMR Board,premium,1.1,1.2,water resistance
29,Laminate,Veneer,premium,1.07,1.14,better finish
30,Laminate,Acrylic Sheet,premium,1.12,1.15,modern look
31,Laminate,PVC Laminate,standard,0.95,0.9,moisture resistance
32,Adhesive,Tile Adhesive Premium,premium,1.08,1.18,bond strength
33,Adhesive,Fevicol SH,standard,1.0,1.0,availability
34,Edge Band,PVC Edge Band Premium,premium,1.06,1.12,finish quality
35,Edge Band,ABS Edge Band,premium,1.1,1.18,durability
36,Hinges,Soft Close Hinges,premium,1.15,1.2,user comfort
37,Hinges,Standard Hinges,economy,0.85,0.8,cost saving
38,Handles,Stainless Steel Handle,premium,1.1,1.15,durability
39,Handles,Aluminium Handle,standard,0.95,0.9,cost reduction
40,Vitrified Tile,Granite,premium,1.05,1.2,client preference
41,Vitrified Tile,Ceramic Tile,standard,0.9,0.85,cost saving
42,Vitrified Tile,Porcelain Tile,premium,1.1,1.18,water resistance
43,Ceramic Tile,Porcelain Tile,premium,1.08,1.18,durability
44,Ceramic Tile,Vitrified Tile,premium,1.12,1.2,premium finish
45,Tile Adhesive,Tile Adhesive Premium,premium,1.1,1.18,better bonding
46,Tile Adhesive,Cement Mortar,economy,0.7,0.75,cost saving
47,Tile Grout,Epoxy Grout,premium,1.12,1.15,chemical resistance
48,Tile Grout,Cement Grout,standard,0.9,0.85,availability
49,Spacer,Reusable Spacer,premium,1.05,1.12,reusability
50,Spacer,Plastic Spacer,standard,0.9,0.9,cost saving
51,Cleaning Chemical - Type 1,Industrial Cleaning Chemical,premium,1.1,1.15,heavy contamination
52,Cleaning Chemical - Type 1,Bio Cleaning Chemical,premium,1.08,1.12,eco friendly
53,Cleaning Chemical - Type 2,Bio Cleaning Chemical,premium,1.1,1.14,eco friendly
54,Cleaning Chemical - Type 2,Industrial Degreaser,standard,0.95,0.9,availability
55,Disinfectant,Chlorine Based Disinfectant,standard,0.95,0.9,cost saving
