boq_text,industry,subcategory,quantity,unit,project_type,season,region,tasks,stages
Laying two coats of ceramic tiles on wall surface with surface preparation,Interior,Painting,81,sqm,Industrial,festival,central,"[""site measurement"", ""surface preparation"", ""putty application"", ""primer application"", ""paint coat 1"", ""paint coat 2"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Applying acrylic paint for false ceiling framework with complete materials,Interior,FalseCeiling,121,rmt,Industrial,festival,south,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""channel fixing"", ""board installation"", ""joint taping"", ""screw fixing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Constructing tank cleaning using chemicals and tools with surface preparation,Tank Cleaning,Tank,239,nos,Residential,normal,west,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing ceramic tiles piping network as per specifications,Plumbing,Piping,62,sqm,Commercial,normal,east,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying reinforcement steel piping network with complete materials,Plumbing,Piping,482,kg,Residential,festival,east,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing tank cleaning using chemicals and tools including finishing,Tank Cleaning,Tank,348,rmt,Commercial,normal,north,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying reinforcement steel for false ceiling framework as per specifications,Interior,FalseCeiling,93,nos,Commercial,normal,east,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""channel fixing"", ""board installation"", ""joint taping"", ""screw fixing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Constructing ceramic tiles flooring with adhesive as per standards,Interior,Tiling,246,kg,Commercial,festival,central,"[""site measurement"", ""layout marking"", ""adhesive application"", ""tile laying"", ""grouting"", ""edge finishing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying electrical wiring with ceramic tiles conduits including finishing,Electrical,Wiring,422,nos,Commercial,monsoon,south,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing electrical wiring with laminated boards conduits including primer coat,Electrical,Wiring,212,kg,Residential,monsoon,north,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing electrical wiring with wooden panels conduits with curing,Electrical,Wiring,195,rmt,Residential,festival,west,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing two coats of vitrified tiles on wall surface as per standards,Interior,Painting,415,kg,Industrial,normal,west,"[""site measurement"", ""surface preparation"", ""putty application"", ""primer application"", ""paint coat 1"", ""paint coat 2"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Constructing RCC work using gypsum boards in structural members including finishing,Infra,RCC,358,sqm,Industrial,festival,east,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Laying PVC pipes piping network as per standards,Plumbing,Piping,242,sqm,Industrial,festival,east,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing tank cleaning using chemicals and tools including joint treatment,Tank Cleaning,Tank,440,rmt,Residential,monsoon,north,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating tank cleaning using chemicals and tools including finishing,Tank Cleaning,Tank,67,nos,Commercial,normal,south,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing electrical wiring with reinforcement steel conduits with complete materials,Electrical,Wiring,399,rmt,Residential,festival,west,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
